Name,HEX,RGB
Alice Blue,#F0F8FF,"rgb(94,97,100)"
Antique White,#FAEBD7,"rgb(98,92,84)"
Aqua,#00FFFF,"rgb(0,100,100)"
Aquamarine,#7FFFD4,"rgb(50,100,83)"
Azure,#F0FFFF,"rgb(94,100,100)"
Beige,#F5F5DC,"rgb(96,96,86)"
Bisque,#FFE4C4,"rgb(100,89,77)"
Black,#000000,"rgb(0,0,0)"
Blanched Almond,#FFEBCD,"rgb(100,92,80)"
Blue,#0000FF,"rgb(0,0,100)"
Blue Violet,#8A2BE2,"rgb(54,17,89)"
Brown,#A52A2A,"rgb(65,16,16)"
Burlywood,#DEB887,"rgb(87,72,53)"
Cadet Blue,#5F9EA0,"rgb(37,62,63)"
Chartreuse,#7FFF00,"rgb(50,100,0)"
Chocolate,#D2691E,"rgb(82,41,12)"
Coral,#FF7F50,"rgb(100,50,31)"
Cornflower Blue,#6495ED,"rgb(39,58,93)"
Cornsilk,#FFF8DC,"rgb(100,97,86)"
Crimson,#DC143C,"rgb(86,8,24)"
Cyan,#00FFFF,"rgb(0,100,100)"
Dark Blue,#00008B,"rgb(0,0,55)"
Dark Cyan,#008B8B,"rgb(0,55,55)"
Dark Goldenrod,#B8860B,"rgb(72,53,4)"
Dark Gray,#A9A9A9,"rgb(66,66,66)"
Dark Green,#006400,"rgb(0,39,0)"
Dark Khaki,#BDB76B,"rgb(74,72,42)"
Dark Magenta,#8B008B,"rgb(55,0,55)"
Dark Olive Green,#556B2F,"rgb(33,42,18)"
Dark Orange,#FF8C00,"rgb(100,55,0)"
Dark Orchid,#9932CC,"rgb(60,20,80)"
Dark Red,#8B0000,"rgb(55,0,0)"
Dark Salmon,#E9967A,"rgb(91,59,48)"
Dark Sea Green,#8FBC8F,"rgb(56,74,56)"
Dark Slate Blue,#483D8B,"rgb(28,24,55)"
Dark Slate Gray,#2F4F4F,"rgb(18,31,31)"
Dark Turquoise,#00CED1,"rgb(0,81,82)"
Dark Violet,#9400D3,"rgb(58,0,83)"
Deep Pink,#FF1493,"rgb(100,8,58)"
Deep Sky Blue,#00BFFF,"rgb(0,75,100)"
Dim Gray,#696969,"rgb(41,41,41)"
Dodger Blue,#1E90FF,"rgb(12,56,100)"
Firebrick,#B22222,"rgb(70,13,13)"
Floral White,#FFFAF0,"rgb(100,98,94)"
Forest Green,#228B22,"rgb(13,55,13)"
Fuchsia,#FF00FF,"rgb(100,0,100)"
Gainsboro,#DCDCDC,"rgb(86,86,86)"
Ghost White,#F8F8FF,"rgb(97,97,100)"
Gold,#FFD700,"rgb(100,84,0)"
Goldenrod,#DAA520,"rgb(85,65,13)"
Gray,#BEBEBE,"rgb(75,75,75)"
Web Gray,#808080,"rgb(50,50,50)"
Green,#00FF00,"rgb(0,100,0)"
Web Green,#008000,"rgb(0,50,0)"
Green Yellow,#ADFF2F,"rgb(68,100,18)"
Honeydew,#F0FFF0,"rgb(94,100,94)"
Hot Pink,#FF69B4,"rgb(100,41,71)"
Indian Red,#CD5C5C,"rgb(80,36,36)"
Indigo,#4B0082,"rgb(29,0,51)"
Ivory,#FFFFF0,"rgb(100,100,94)"
Khaki,#F0E68C,"rgb(94,90,55)"
Lavender,#E6E6FA,"rgb(90,90,98)"
Lavender Blush,#FFF0F5,"rgb(100,94,96)"
Lawn Green,#7CFC00,"rgb(49,99,0)"
Lemon Chiffon,#FFFACD,"rgb(100,98,80)"
Light Blue,#ADD8E6,"rgb(68,85,90)"
Light Coral,#F08080,"rgb(94,50,50)"
Light Cyan,#E0FFFF,"rgb(88,100,100)"
Light Goldenrod,#FAFAD2,"rgb(98,98,82)"
Light Gray,#D3D3D3,"rgb(83,83,83)"
Light Green,#90EE90,"rgb(56,93,56)"
Light Pink,#FFB6C1,"rgb(100,71,76)"
Light Salmon,#FFA07A,"rgb(100,63,48)"
Light Sea Green,#20B2AA,"rgb(13,70,67)"
Light Sky Blue,#87CEFA,"rgb(53,81,98)"
Light Slate Gray,#778899,"rgb(47,53,60)"
Light Steel Blue,#B0C4DE,"rgb(69,77,87)"
Light Yellow,#FFFFE0,"rgb(100,100,88)"
Lime,#00FF00,"rgb(0,100,0)"
Lime Green,#32CD32,"rgb(20,80,20)"
Linen,#FAF0E6,"rgb(98,94,90)"
Magenta,#FF00FF,"rgb(100,0,100)"
Maroon,#B03060,"rgb(69,19,38)"
Web Maroon,#800000,"rgb(50,0,0)"
Medium Aquamarine,#66CDAA,"rgb(40,80,67)"
Medium Blue,#0000CD,"rgb(0,0,80)"
Medium Orchid,#BA55D3,"rgb(73,33,83)"
Medium Purple,#9370DB,"rgb(58,44,86)"
Medium Sea Green,#3CB371,"rgb(24,70,44)"
Medium Slate Blue,#7B68EE,"rgb(48,41,93)"
Medium Spring Green,#00FA9A,"rgb(0,98,60)"
Medium Turquoise,#48D1CC,"rgb(28,82,80)"
Medium Violet Red,#C71585,"rgb(78,8,52)"
Midnight Blue,#191970,"rgb(10,10,44)"
Mint Cream,#F5FFFA,"rgb(96,100,98)"
Misty Rose,#FFE4E1,"rgb(100,89,88)"
Moccasin,#FFE4B5,"rgb(100,89,71)"
