12-Hour,24-Hour
12:00 a.m.,00:00
12:15 a.m.,00:15
12:30 a.m.,00:30
12:45 a.m.,00:45
1:00 a.m.,01:00
1:15 a.m.,01:15
1:30 a.m.,01:30
1:45 a.m.,01:45
2:00 a.m.,02:00
2:15 a.m.,02:15
2:30 a.m.,02:30
2:45 a.m.,02:45
3:00 a.m.,03:00
3:15 a.m.,03:15
3:30 a.m.,03:30
3:45 a.m.,03:45
4:00 a.m.,04:00
4:15 a.m.,04:15
4:30 a.m.,04:30
4:45 a.m.,04:45
5:00 a.m.,05:00
5:15 a.m.,05:15
5:30 a.m.,05:30
5:45 a.m.,05:45
6:00 a.m.,06:00
6:15 a.m.,06:15
6:30 a.m.,06:30
6:45 a.m.,06:45
7:00 a.m.,07:00
7:15 a.m.,07:15
7:30 a.m.,07:30
7:45 a.m.,07:45
8:00 a.m.,08:00
8:15 a.m.,08:15
8:30 a.m.,08:30
8:45 a.m.,08:45
9:00 a.m.,09:00
9:15 a.m.,09:15
9:30 a.m.,09:30
9:45 a.m.,09:45
10:00 a.m.,10:00
10:15 a.m.,10:15
10:30 a.m.,10:30
10:45 a.m.,10:45
11:00 a.m.,11:00
11:15 a.m.,11:15
11:30 a.m.,11:30
11:45 a.m.,11:45
12:00 p.m.,12:00
12:15 p.m.,12:15
12:30 p.m.,12:30
12:45 p.m.,12:45
1:00 p.m.,13:00
1:15 p.m.,13:15
1:30 p.m.,13:30
1:45 p.m.,13:45
2:00 p.m.,14:00
2:15 p.m.,14:15
2:30 p.m.,14:30
2:45 p.m.,14:45
3:00 p.m.,15:00
3:15 p.m.,15:15
3:30 p.m.,15:30
3:45 p.m.,15:45
4:00 p.m.,16:00
4:15 p.m.,16:15
4:30 p.m.,16:30
4:45 p.m.,16:45
5:00 p.m.,17:00
5:15 p.m.,17:15
5:30 p.m.,17:30
5:45 p.m.,17:45
6:00 p.m.,18:00
6:15 p.m.,18:15
6:30 p.m.,18:30
6:45 p.m.,18:45
7:00 p.m.,19:00
7:15 p.m.,19:15
7:30 p.m.,19:30
7:45 p.m.,19:45
8:00 p.m.,20:00
8:15 p.m.,20:15
8:30 p.m.,20:30
8:45 p.m.,20:45
9:00 p.m.,21:00
9:15 p.m.,21:15
9:30 p.m.,21:30
9:45 p.m.,21:45
10:00 p.m.,22:00
10:15 p.m.,22:15
10:30 p.m.,22:30
10:45 p.m.,22:45
11:00 p.m.,23:00
11:15 p.m.,23:15
11:30 p.m.,23:00
11:45 p.m.,23:45
